191,532,54,103,0.55413
337,455,59,112,0.5518
190,258,205,385,0.55035
169,576,55,104,0.54725
618,822,55,104,0.54695
638,800,65,122,0.54658
256,221,53,101,0.54309
493,180,102,192,0.54294
60,168,69,131,0.5395
70,262,90,170,0.53934
576,796,63,119,0.53898
544,75,54,102,0.53795
224,474,56,105,0.537
187,178,51,95,0.53696
295,217,56,105,0.53694
504,636,58,109,0.53537
168,475,65,121,0.53323
468,695,119,225,0.53307
147,322,53,101,0.53307
600,281,52,98,0.53273
349,479,90,168,0.53266
408,128,69,131,0.53251
76,541,108,203,0.5325
383,543,60,111,0.53249
354,415,106,199,0.53239
481,120,55,103,0.53167
189,97,53,98,0.5308
406,228,64,119,0.52851
333,548,62,117,0.52834
653,397,51,95,0.52753
335,348,61,115,0.52669
542,794,53,98,0.52658
120,462,96,179,0.52612
431,650,53,100,0.52594
351,256,94,176,0.52584
104,340,88,165,0.52571
497,171,54,102,0.52487
389,296,54,102,0.52305
289,404,68,128,0.5227
7,324,110,206,0.52255
346,294,54,103,0.52173
320,419,57,108,0.52151
180,21,52,99,0.52097
292,66,68,127,0.52076
231,421,116,218,0.51989
413,636,62,116,0.51944
418,282,57,108,0.51864
419,167,113,212,0.51862
129,567,58,109,0.51776
585,89,56,106,0.51768
492,825,50,94,0.51732
341,409,65,123,0.5173
548,794,52,98,0.51696
180,205,50,94,0.51665
391,79,59,111,0.51638
107,633,63,118,0.51636
320,30,56,105,0.51632
371,151,99,186,0.51602
197,378,63,118,0.516
183,455,105,198,0.51542
391,4,54,102,0.51506
42,214,55,103,0.51488
319,373,59,112,0.51481
320,459,58,109,0.51459
277,526,130,245,0.51414
-14,668,157,295,0.51352
472,694,56,105,0.51344
675,663,54,101,0.51305
289,35,54,102,0.51268
77,520,98,184,0.51262
180,410,51,97,0.51249
666,599,60,114,0.5124
102,182,100,187,0.51226
175,15,170,318,0.51224
549,36,54,102,0.51207
522,72,58,109,0.51139
189,52,55,103,0.51121
579,771,52,98,0.50979
582,383,132,250,0.50969
253,186,73,137,0.50942
124,253,58,111,0.50936
171,282,119,223,0.50926
458,499,133,250,0.50905
65,355,62,116,0.50897
293,461,99,186,0.50882
342,427,61,115,0.50879
452,645,57,107,0.50841
415,13,52,98,0.50774
637,362,52,98,0.50765
154,224,54,101,0.50723
486,256,60,111,0.5072
238,540,54,102,0.50712
423,748,116,218,0.50707
652,707,58,110,0.50679
668,798,62,117,0.50655
599,653,54,101,0.50615
140,21,50,94,0.50609
377,203,79,148,0.50584
4,87,64,120,0.50574
246,210,116,218,0.50531
499,52,50,94,0.50525
444,6,68,127,0.5052
586,485,64,120,0.50517
541,836,52,98,0.50427
329,388,59,111,0.50426
49,152,129,241,0.50423
371,325,74,140,0.50422
556,413,50,94,0.50358
530,28,63,119,0.50326
566,203,64,120,0.50323
194,97,53,98,0.50319
358,25,70,130,0.50247
142,501,73,137,0.50235
98,44,178,334,0.50221
575,559,52,98,0.5019
203,414,80,151,0.50175
550,751,53,100,0.50156
292,267,82,154,0.50123
493,46,50,94,0.50118
219,538,52,99,0.50114
466,38,52,98,0.50095
419,8,99,186,0.50082
468,189,50,94,0.50062
424,70,52,100,0.50061
471,151,62,115,0.50057
510,228,77,145,0.50037
206,578,56,104,0.50027
674,375,56,104,0.50007
