126,195,106,211,0.56855
346,202,51,103,0.56746
205,205,67,133,0.53151
221,253,52,104,0.52954
119,234,53,106,0.52925
2,214,58,116,0.52476
349,68,117,233,0.52317
307,180,46,93,0.52084
452,57,53,106,0.52082
542,279,48,96,0.51756
524,9,67,135,0.51754
159,296,56,112,0.51675
135,309,50,100,0.51638
75,208,62,124,0.5141
410,336,51,101,0.51031
227,183,91,182,0.50885
260,24,129,259,0.50737
211,52,46,92,0.50599
481,340,48,96,0.50468
315,360,62,124,0.50447
220,32,122,244,0.50445
450,367,72,142,0.50381
272,167,62,124,0.50351
24,193,56,111,0.50321
299,18,68,136,0.5031
95,256,48,96,0.50309
297,199,50,99,0.50296
66,201,59,117,0.50249
408,132,78,157,0.50228
479,37,59,119,0.50226
529,42,56,113,0.50121
205,304,50,102,0.50088
280,38,48,96,0.50013
