756.81,339.81,103.25,259.62,-0.40594
493.58,274.65,217.92,546.31,-0.59816
301.18,344.06,170.53,427.83,-0.61015
736.14,205.21,162.36,407.41,-0.70073
497,177,63,159,-0.7053
695.58,306.61,36.044,91.61,-0.71548
894.57,149.93,98.285,247.21,-0.71718
767.23,55.731,217.92,546.31,-0.72531
118.93,129.65,41.883,106.21,-0.72542
1,271.16,179.11,449.27,-0.76946
473.79,166.48,93.557,235.39,-0.77246
201,497,31,79,-0.78589
365.87,261.62,207.5,520.25,-0.8032
48.279,48.279,188.11,471.79,-0.81063
281,617,31,79,-0.84883
234.38,1,310.17,776.92,-0.8717
398.14,-197.57,396.14,991.85,-0.89441
