210,251,222,442,0.60416
536,244,199,397,0.57985
353,243,230,460,0.57269
225,129,47,95,0.53258
652,439,157,316,0.52441
576,426,156,312,0.51808
481,397,177,353,0.51802
134,296,52,104,0.51665
1149,205,60,122,0.51627
1162,4,48,94,0.51529
214,311,108,216,0.51332
1185,195,67,134,0.51215
725,303,212,424,0.50973
650,416,75,150,0.50901
559,367,96,192,0.50689
1108,210,62,124,0.50638
1161,195,66,133,0.506
353,445,54,107,0.50441
1154,199,134,270,0.5036
884,310,208,418,0.50359
56,278,76,153,0.50254
832,503,128,256,0.50202
