244,324,64,128,0.63529
247.93,283.84,64.169,128.34,0.65466
304.09,332.28,64.596,129.19,0.64624
323.79,305.99,67.213,134.43,0.62125
449.51,117.19,92.089,184.18,0.62618
256.87,320.69,76.109,152.22,0.60915
291.36,314.63,76.056,152.11,0.62811
295.37,302.1,76.693,153.39,0.63417
371.03,161.73,76.109,152.22,0.60784
460.79,158.38,68.425,136.85,0.62395
320.48,305.07,82.508,165.02,0.63145
348.24,304.01,82.613,165.23,0.66238
235.37,235.85,109.23,218.47,0.63686
276.33,242.56,113.85,227.69,0.63928
322.89,174.89,107.65,215.3,0.60002
330.01,237.71,108.51,217.01,0.61865
259.92,71.058,125.15,250.3,0.6161
368,56,128,256,0.60784
254.57,33.91,210.83,421.65,0.72828
